Date range:,2019-01-01 - 2023-07-06
Activity:,All activity types

Date,Activity,Order,Order or service type,Gig,Buyer,Seller,Provider,Currency,Amount
2023-07-05,Earning,FO41682446384,Order,develop chatpdf saas platform with chatgpt api, pdf ai chat bot,eddie1817,,,USD,400.0
2023-07-02,Earning,FO621CDD45AC6,Order,develop chatpdf saas platform with chatgpt api, chat with any files,chimac07,,,USD,600.0
2023-06-30,Expense,,seller_plus_standard,,,,,USD,-19.0
2023-06-30,Earning,FO4169BF2FF84,Order,develop chatgpt chatbot for custom knowledgebase saas platform ,chat with files,raresp,,,USD,400.0
2023-06-24,Withdrawal,,,,,,Payoneer,USD,-752.0
2023-06-23,Earning,FO82D29122708,Tip,create web applications or saas using chatgpt,contains editor and PDF downloader,hongyang540,,,USD,40.0
2023-06-23,Earning,FO82D29122708,Order,create web applications or saas using chatgpt,contains editor and PDF downloader,hongyang540,,,USD,280.0
2023-06-21,Earning,FO71BE8539903,Tip,create web applications or saas using chatgpt,contains editor and PDF downloader,anzalq,,,USD,72.0
2023-06-21,Earning,FO71BE8539903,Order,create web applications or saas using chatgpt,contains editor and PDF downloader,anzalq,,,USD,360.0
2023-06-14,Withdrawal,,,,,,Payoneer,USD,-1360.0
2023-06-14,Earning,FO3B3CE9F941,Order,develop chatpdf saas platform with chatgpt api, pdf ai chat bot,smallpdfkenya,,,USD,160.0
2023-06-12,Earning,FO1B385EE943,Order,create web applications or saas using chatgpt,contains editor and PDF downloader,reuroq,,,USD,400.0
2023-06-12,Earning,FO2B39AC6D42,Tip,develop chatpdf saas platform with chatgpt api, chat with any files,hongyang540,,,USD,40.0
2023-06-12,Earning,FO2B39AC6D42,Order,develop chatpdf saas platform with gpt api ,langchain and pincone,hongyang540,,,USD,400.0
2023-06-12,Earning,FO410D01CA142,Order,create web applications or saas using chatgpt,contains editor and PDF downloader,aminedjouamai,,,USD,360.0
2023-06-09,Withdrawal,,,,,,Payoneer,USD,-520.0
2023-06-09,Earning,FO82D06C14F08,Order,develop chatpdf saas platform with chatgpt api, pdf ai chat bot,ramondummett,,,USD,520.0
2023-06-01,Withdrawal,,,,,,Payoneer,USD,-200.0
2023-05-30,Earning,FO61C102A5404,Order,develop chatpdf saas platform with gpt api ,langchain and pincone,hongyang540,,,USD,200.0
2023-04-13,Withdrawal,,,,,,Payoneer,USD,-124.0
2023-04-13,Earning,FO8267BEF23C6,Tip,create web applications or saas using chatgpt,contains editor and PDF downloader,amarkarthik,,,USD,4.0
2023-04-13,Earning,FO8267BEF23C6,Order,create web applications using chatgpt API, such as content writer, email writer,amarkarthik,,,USD,120.0
